序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
4575,000987,越秀资本,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:217,623万元至248,792万元,同比上年增长:40%至60%。",2332075000.0,50.0,"2026年上半年,资本市场延续向好态势,公司投资相关业务实现较好的收益增长。同时,公司控股子公司广州资产管理有限公司业务转型成效持续显现,相关业务收益大幅提升。",预增,1550970000.0,2026-07-07
4576,000987,越秀资本,每股收益,预计2026年1-6月每股收益盈利:0.5431元至0.6054元。,0.57425,,"2026年上半年,资本市场延续向好态势,公司投资相关业务实现较好的收益增长。同时,公司控股子公司广州资产管理有限公司业务转型成效持续显现,相关业务收益大幅提升。",预增,0.3093,2026-07-07
4577,000859,国风新材,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,800万元至3,800万元。",-33000000.0,17.635,"报告期内,薄膜行业供需失衡格局延续,产能充裕与需求疲软的结构性矛盾未能有效缓解,行业整体仍处周期低谷。公司新项目建设整体正按计划加速推进,设备调试与工艺优化工作同步有序开展,新投产的生产线处于产能爬坡阶段。预计公司本报告期经营效益较上年同期小幅减亏。",减亏,-40065500.0,2026-07-07
4578,000859,国风新材,每股收益,预计2026年1-6月每股收益亏损:0.03元至0.04元。,-0.035,,"报告期内,薄膜行业供需失衡格局延续,产能充裕与需求疲软的结构性矛盾未能有效缓解,行业整体仍处周期低谷。公司新项目建设整体正按计划加速推进,设备调试与工艺优化工作同步有序开展,新投产的生产线处于产能爬坡阶段。预计公司本报告期经营效益较上年同期小幅减亏。",减亏,-0.04,2026-07-07
4579,000859,国风新材,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:2,800万元至3,800万元。",-33000000.0,28.015,"报告期内,薄膜行业供需失衡格局延续,产能充裕与需求疲软的结构性矛盾未能有效缓解,行业整体仍处周期低谷。公司新项目建设整体正按计划加速推进,设备调试与工艺优化工作同步有序开展,新投产的生产线处于产能爬坡阶段。预计公司本报告期经营效益较上年同期小幅减亏。",减亏,-45841900.0,2026-07-07
4580,000818,航锦科技,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:1,200万元至1,800万元。",15000000.0,462.435,"本报告期,公司智算算力板块发展持续向好,已成为公司主要创利来源,预计盈利13,700万元-15,300万元;化工板块受销售价格下降影响,预计亏损8,500万元-10,000万元。",扭亏,-4138700.0,2026-07-07
4581,000818,航锦科技,每股收益,预计2026年1-6月每股收益盈利:0.06元至0.08元。,0.07,,"本报告期,公司智算算力板块发展持续向好,已成为公司主要创利来源,预计盈利13,700万元-15,300万元;化工板块受销售价格下降影响,预计亏损8,500万元-10,000万元。",预增,0.02,2026-07-07
4582,000818,航锦科技,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:4,000万元至5,600万元,同比上年增长:191.45%至308.03%。",48000000.0,249.74,"本报告期,公司智算算力板块发展持续向好,已成为公司主要创利来源,预计盈利13,700万元-15,300万元;化工板块受销售价格下降影响,预计亏损8,500万元-10,000万元。",预增,13724400.0,2026-07-07
4583,000729,燕京啤酒,每股收益,预计2026年1-6月每股收益盈利:0.4891元至0.5282元。,0.50865,,"报告期内,燕京啤酒稳步推进“十五五”规划落地,围绕“一核两翼”战略布局,以啤酒主业为核心,持续推动燕京U8、燕京A10等大单品放量增长,带动产品结构优化升级;以饮料、健康食品为两翼,拓展多元消费场景,丰富产品矩阵。同时,公司深化市场渠道建设,强化产销协同与费用管控,在所有工厂推行卓越管理体系建设,通过供应链变革、精益管理、数字化建设深挖效率提升空间,有力推动收入稳健增长和盈利能力持续改善,经营质量和发展韧性得到进一步提升。2026年上半年,公司发展质量稳步提升,经营效益持续向好。公司预计归属于上市公司股东的净利润为137,853万元-148,881万元,比上年同期增长25.00%-35.00%。",略增,0.3913,2026-07-07
4584,000729,燕京啤酒,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:137,853万元至148,881万元,同比上年增长:25%至35%。",1433670000.0,30.0,"报告期内,燕京啤酒稳步推进“十五五”规划落地,围绕“一核两翼”战略布局,以啤酒主业为核心,持续推动燕京U8、燕京A10等大单品放量增长,带动产品结构优化升级;以饮料、健康食品为两翼,拓展多元消费场景,丰富产品矩阵。同时,公司深化市场渠道建设,强化产销协同与费用管控,在所有工厂推行卓越管理体系建设,通过供应链变革、精益管理、数字化建设深挖效率提升空间,有力推动收入稳健增长和盈利能力持续改善,经营质量和发展韧性得到进一步提升。2026年上半年,公司发展质量稳步提升,经营效益持续向好。公司预计归属于上市公司股东的净利润为137,853万元-148,881万元,比上年同期增长25.00%-35.00%。",略增,1102821900.0,2026-07-07
4585,000729,燕京啤酒,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:134,744万元至145,108万元,同比上年增长:30%至40%。",1399260000.0,35.0,"报告期内,燕京啤酒稳步推进“十五五”规划落地,围绕“一核两翼”战略布局,以啤酒主业为核心,持续推动燕京U8、燕京A10等大单品放量增长,带动产品结构优化升级;以饮料、健康食品为两翼,拓展多元消费场景,丰富产品矩阵。同时,公司深化市场渠道建设,强化产销协同与费用管控,在所有工厂推行卓越管理体系建设,通过供应链变革、精益管理、数字化建设深挖效率提升空间,有力推动收入稳健增长和盈利能力持续改善,经营质量和发展韧性得到进一步提升。2026年上半年,公司发展质量稳步提升,经营效益持续向好。公司预计归属于上市公司股东的净利润为137,853万元-148,881万元,比上年同期增长25.00%-35.00%。",略增,1036488700.0,2026-07-07
4586,000408,藏格矿业,每股收益,预计2026年1-6月每股收益盈利:2.2651元至2.3928元。,2.32895,,"公司2026年上半年经营业绩较上年同期实现大幅增长,主要系主营业务盈利水平显著提升、参股公司投资收益同比大幅增加所致,情况如下:1.氯化钾业务盈利持续向好:报告期内,公司氯化钾产量约51.03万吨,销量约52.53万吨。受行业供需格局影响,上半年氯化钾市场销售价格同比上行,带动氯化钾业务收入同比增长;同时公司持续优化内部管理、推行控本增效,带来氯化钾单吨销售成本同比下降。销售价格上涨及单位销售成本下降带来毛利率同比增长,积极推动公司整体业绩同比增长。2.碳酸锂业务业绩大幅提升:报告期公司碳酸锂产量约5,400吨、销量约4,000吨。受市场供需驱动,碳酸锂销售价格较上年同期大幅上涨,助推碳酸锂板块经营业绩显著增长。3.巨龙铜业投资收益大幅增加:受益于铜价上行及巨龙铜矿二期建成投产带来的产能释放,参股公司巨龙铜业利润同比大幅提升。公司按权益法核算,预计本期确认投资收益约28亿元,较上年同期增幅显著。",预增,1.1526,2026-07-07
4587,000408,藏格矿业,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:355,000万元至375,000万元,同比上年增长:97.2%至108.31%。",3650000000.0,102.755,"公司2026年上半年经营业绩较上年同期实现大幅增长,主要系主营业务盈利水平显著提升、参股公司投资收益同比大幅增加所致,情况如下:1.氯化钾业务盈利持续向好:报告期内,公司氯化钾产量约51.03万吨,销量约52.53万吨。受行业供需格局影响,上半年氯化钾市场销售价格同比上行,带动氯化钾业务收入同比增长;同时公司持续优化内部管理、推行控本增效,带来氯化钾单吨销售成本同比下降。销售价格上涨及单位销售成本下降带来毛利率同比增长,积极推动公司整体业绩同比增长。2.碳酸锂业务业绩大幅提升:报告期公司碳酸锂产量约5,400吨、销量约4,000吨。受市场供需驱动,碳酸锂销售价格较上年同期大幅上涨,助推碳酸锂板块经营业绩显著增长。3.巨龙铜业投资收益大幅增加:受益于铜价上行及巨龙铜矿二期建成投产带来的产能释放,参股公司巨龙铜业利润同比大幅提升。公司按权益法核算,预计本期确认投资收益约28亿元,较上年同期增幅显著。",预增,1800205200.0,2026-07-07
4588,000408,藏格矿业,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:361,300万元至381,300万元,同比上年增长:99.79%至110.85%。",3713000000.0,105.32,"公司2026年上半年经营业绩较上年同期实现大幅增长,主要系主营业务盈利水平显著提升、参股公司投资收益同比大幅增加所致,情况如下:1.氯化钾业务盈利持续向好:报告期内,公司氯化钾产量约51.03万吨,销量约52.53万吨。受行业供需格局影响,上半年氯化钾市场销售价格同比上行,带动氯化钾业务收入同比增长;同时公司持续优化内部管理、推行控本增效,带来氯化钾单吨销售成本同比下降。销售价格上涨及单位销售成本下降带来毛利率同比增长,积极推动公司整体业绩同比增长。2.碳酸锂业务业绩大幅提升:报告期公司碳酸锂产量约5,400吨、销量约4,000吨。受市场供需驱动,碳酸锂销售价格较上年同期大幅上涨,助推碳酸锂板块经营业绩显著增长。3.巨龙铜业投资收益大幅增加:受益于铜价上行及巨龙铜矿二期建成投产带来的产能释放,参股公司巨龙铜业利润同比大幅提升。公司按权益法核算,预计本期确认投资收益约28亿元,较上年同期增幅显著。",预增,1808398000.0,2026-07-07
4589,920079,乔路铭,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:21,400万元至23,300万元,同比上年增长:6.28%至15.72%。",223500000.0,11.0,,略增,201354800.0,2026-07-06
4590,920079,乔路铭,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:19,600万元至21,500万元,同比上年增长:0.38%至10.12%。",205500000.0,5.25,,略增,195248800.0,2026-07-06
4591,920079,乔路铭,营业收入,"预计2026年1-6月营业收入:143,000万元至153,000万元,同比上年增长:0.35%至7.37%。",1480000000.0,3.86,,略增,1424988900.0,2026-07-06
4592,688378,奥来德,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:16,000万元至19,000万元,同比上年增长:492.49%至603.58%,同比上年增长13,299.51万元至16,299.51万元。",175000000.0,548.035,"公司归属于母公司所有者的净利润及归属于母公司所有者的扣除非经常性损益的净利润较上年同期大幅增长,主要系设备业务核心竞争壁垒持续夯实,产品技术与市场卡位优势充分落地,相关业务收入大幅增长,推动公司盈利能力显著提升。",预增,27004900.0,2026-07-06
4593,688378,奥来德,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:10,500万元至12,500万元,同比上年增长:2366.53%至2836.34%,同比上年增长10,074.3万元至12,074.3万元。",115000000.0,2601.435,"公司归属于母公司所有者的净利润及归属于母公司所有者的扣除非经常性损益的净利润较上年同期大幅增长,主要系设备业务核心竞争壁垒持续夯实,产品技术与市场卡位优势充分落地,相关业务收入大幅增长,推动公司盈利能力显著提升。",预增,4257000.0,2026-07-06
4594,688337,普源精电,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:3,458.39万元至4,262.23万元,同比上年增长:113.27%至162.84%,同比上年增长1,836.81万元至2,640.65万元。",38603100.0,138.055,"1、报告期内,公司持续推进技术创新和产品迭代,示波验证、微波射频、直流精密及解决方案各事业部的相关新品及解决方案不断推出并形成收入贡献,带动公司营业收入增长。2、报告期内,公司在通信、新能源、半导体等战略行业积极拓展,相关产品和解决方案在重点客户中的应用进一步深化,上述核心赛道及阵列测控系统解决方案等细分市场保持良好增长态势,对公司业绩提升形成重要支撑。3、报告期内,公司持续推进全球化业务布局,中国、欧洲、美国等重点区域市场销售收入实现显著增长,海内外战略客户拓展取得新的积极进展。同时,随着营业收入增长、产品结构优化及经营效率提升,公司整体盈利能力进一步增强。",预增,16215800.0,2026-07-06
4595,688337,普源精电,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:2,147.38万元至2,646.5万元,同比上年增长3,199.94万元至3,699.06万元。",23969400.0,327.72,"1、报告期内,公司持续推进技术创新和产品迭代,示波验证、微波射频、直流精密及解决方案各事业部的相关新品及解决方案不断推出并形成收入贡献,带动公司营业收入增长。2、报告期内,公司在通信、新能源、半导体等战略行业积极拓展,相关产品和解决方案在重点客户中的应用进一步深化,上述核心赛道及阵列测控系统解决方案等细分市场保持良好增长态势,对公司业绩提升形成重要支撑。3、报告期内,公司持续推进全球化业务布局,中国、欧洲、美国等重点区域市场销售收入实现显著增长,海内外战略客户拓展取得新的积极进展。同时,随着营业收入增长、产品结构优化及经营效率提升,公司整体盈利能力进一步增强。",扭亏,-10525600.0,2026-07-06
4596,688337,普源精电,营业收入,"预计2026年1-6月营业收入:47,721.73万元至50,156.52万元,同比上年增长:34.44%至41.3%,同比上年增长12,224.9万元至14,659.68万元。",489391250.0,37.87,"1、报告期内,公司持续推进技术创新和产品迭代,示波验证、微波射频、直流精密及解决方案各事业部的相关新品及解决方案不断推出并形成收入贡献,带动公司营业收入增长。2、报告期内,公司在通信、新能源、半导体等战略行业积极拓展,相关产品和解决方案在重点客户中的应用进一步深化,上述核心赛道及阵列测控系统解决方案等细分市场保持良好增长态势,对公司业绩提升形成重要支撑。3、报告期内,公司持续推进全球化业务布局,中国、欧洲、美国等重点区域市场销售收入实现显著增长,海内外战略客户拓展取得新的积极进展。同时,随着营业收入增长、产品结构优化及经营效率提升,公司整体盈利能力进一步增强。",略增,354968400.0,2026-07-06
4597,601872,招商轮船,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:660,000万元至730,000万元,同比上年增长:214%至248%,同比上年增长450,000万元至520,000万元。",6950000000.0,231.0,"公司2026年半年度业绩预计出现大幅增长的主要原因为:1、受供需结构变化及地缘局势等多种因素影响,国际油轮运输市场进入超级景气周期,报告期部分航线现货运费率创出历史新高;国际干散货市场受益于供需持续改善,BDI指数稳步回升。2、公司核心业务板块中,油轮船队承接一季度的优秀表现,二季度克服海峡封锁后油轮供过于求的阶段性困难,抓住市场机会再次取得良好业绩,环比一季度预计实现利润贡献增长50%左右;公司干散货板块表现同样出色,二季度业绩增速加快,环比一季度预计实现利润贡献增长170%左右。集装箱船队、滚装船队等也呈现稳步复苏趋势。",预增,2124570000.0,2026-07-06
4598,601872,招商轮船,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:654,000万元至724,000万元,同比上年增长:244%至281%,同比上年增长464,000万元至534,000万元。",6890000000.0,262.5,"公司2026年半年度业绩预计出现大幅增长的主要原因为:1、受供需结构变化及地缘局势等多种因素影响,国际油轮运输市场进入超级景气周期,报告期部分航线现货运费率创出历史新高;国际干散货市场受益于供需持续改善,BDI指数稳步回升。2、公司核心业务板块中,油轮船队承接一季度的优秀表现,二季度克服海峡封锁后油轮供过于求的阶段性困难,抓住市场机会再次取得良好业绩,环比一季度预计实现利润贡献增长50%左右;公司干散货板块表现同样出色,二季度业绩增速加快,环比一季度预计实现利润贡献增长170%左右。集装箱船队、滚装船队等也呈现稳步复苏趋势。",预增,1906180000.0,2026-07-06
4599,601872,招商轮船,营业收入,"预计2026年1-6月营业收入:1,870,000万元至2,060,000万元,同比上年增长:48%至63%,同比上年增长610,000万元至800,000万元。",19650000000.0,55.5,"公司2026年半年度业绩预计出现大幅增长的主要原因为:1、受供需结构变化及地缘局势等多种因素影响,国际油轮运输市场进入超级景气周期,报告期部分航线现货运费率创出历史新高;国际干散货市场受益于供需持续改善,BDI指数稳步回升。2、公司核心业务板块中,油轮船队承接一季度的优秀表现,二季度克服海峡封锁后油轮供过于求的阶段性困难,抓住市场机会再次取得良好业绩,环比一季度预计实现利润贡献增长50%左右;公司干散货板块表现同样出色,二季度业绩增速加快,环比一季度预计实现利润贡献增长170%左右。集装箱船队、滚装船队等也呈现稳步复苏趋势。",预增,12584630000.0,2026-07-06
4600,600521,华海药业,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:41,750万元至45,450万元,同比上年增长:15%至25%,同比上年增长5,408万元至9,108万元。",436000000.0,20.0,"报告期内,公司实现归属于上市公司股东的扣除非经常性损益的净利润较去年同期增长约15%到25%,增长主要因素为:1、公司紧抓市场机遇,纵深拓展全球销售渠道,持续拓宽客户群体,加快新产品上量进程,实现销售收入同比增长;2、缬沙坦欧洲仲裁胜诉收到的山德士支付给公司的律师费、仲裁费等影响利润增加。报告期内,公司实现归属于上市公司股东的净利润较去年同期增长约85%到95%,除上述因素影响外,本期处置子公司华海天衡(上海)药物研究股份有限公司67%股权产生的收益等亦影响利润增加。报告期内,因美元汇率波动,公司汇兑损失约0.89亿元,影响2026年上半年利润减少。",略增,363424600.0,2026-07-06
4601,600521,华海药业,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:75,650万元至79,850万元,同比上年增长:85%至95%,同比上年增长34,701万元至38,901万元。",777500000.0,90.0,"报告期内,公司实现归属于上市公司股东的扣除非经常性损益的净利润较去年同期增长约15%到25%,增长主要因素为:1、公司紧抓市场机遇,纵深拓展全球销售渠道,持续拓宽客户群体,加快新产品上量进程,实现销售收入同比增长;2、缬沙坦欧洲仲裁胜诉收到的山德士支付给公司的律师费、仲裁费等影响利润增加。报告期内,公司实现归属于上市公司股东的净利润较去年同期增长约85%到95%,除上述因素影响外,本期处置子公司华海天衡(上海)药物研究股份有限公司67%股权产生的收益等亦影响利润增加。报告期内,因美元汇率波动,公司汇兑损失约0.89亿元,影响2026年上半年利润减少。",预增,409487600.0,2026-07-06
4602,600201,生物股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:9,100万元至10,900万元,同比上年增长:50.6%至80.39%,同比上年增长3,058万元至4,858万元。",100000000.0,65.495,"报告期内,公司经营业绩实现较大幅度增长,主要得益于公司反刍和宠物动保业务大幅增长,产业并购协同价值开始显现;公司持续推进数字化、智能化、精益化管理,销售费用、管理费用、制造成本、研发成果转化率持续优化,叠加新产品上市等多重因素驱动,公司经营业绩显著改善。",预增,60420000.0,2026-07-06
4603,600201,生物股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:7,000万元至9,100万元,同比上年增长:117.45%至182.69%,同比上年增长3,781万元至5,881万元。",80500000.0,150.07,"报告期内,公司经营业绩实现较大幅度增长,主要得益于公司反刍和宠物动保业务大幅增长,产业并购协同价值开始显现;公司持续推进数字化、智能化、精益化管理,销售费用、管理费用、制造成本、研发成果转化率持续优化,叠加新产品上市等多重因素驱动,公司经营业绩显著改善。",预增,32190000.0,2026-07-06
4604,600105,永鼎股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:50,000万元至70,000万元,同比上年增长:57%至120%,同比上年增长18,147万元至38,147万元。",600000000.0,88.5,"公司本期净利润增长幅度较大,主要系光通信板块受益于数字经济加速推进、AI算力需求爆发式增长,带动光纤市场量价齐升,板块利润实现大幅增长。",预增,318530000.0,2026-07-06
4605,600105,永鼎股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:49,000万元至69,000万元,同比上年增长:55%至119%,同比上年增长17,469万元至37,469万元。",590000000.0,87.0,"公司本期净利润增长幅度较大,主要系光通信板块受益于数字经济加速推进、AI算力需求爆发式增长,带动光纤市场量价齐升,板块利润实现大幅增长。",预增,315310000.0,2026-07-06
4606,301563,云汉芯城,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:15,327.99万元至16,941.46万元,同比上年增长:203.85%至235.84%。",161347250.0,219.845,"公司电子元器件在线交易平台的供应链覆盖能力与履约效率持续增强,报告期内平台注册客户数、交易客户数及订单数量、平均订单金额均实现较快增长,规模效应带动经营杠杆逐步释放。面向大中型企业的“芯晶采”数智化内采平台业务、互联网+授权代理业务、国产器件销售业务及海外平台业务均呈良好发展势头,公司业务结构进一步优化;同时,2026年上半年电子产业景气度提升,为公司业务增长提供了有利的外部环境。上述内外部因素共同推动公司电子元器件销售收入及盈利水平较上年同期实现较大幅度增长。",预增,50445100.0,2026-07-06
4607,301563,云汉芯城,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:15,761.29万元至17,420.37万元,同比上年增长:192.31%至223.08%。",165908300.0,207.695,"公司电子元器件在线交易平台的供应链覆盖能力与履约效率持续增强,报告期内平台注册客户数、交易客户数及订单数量、平均订单金额均实现较快增长,规模效应带动经营杠杆逐步释放。面向大中型企业的“芯晶采”数智化内采平台业务、互联网+授权代理业务、国产器件销售业务及海外平台业务均呈良好发展势头,公司业务结构进一步优化;同时,2026年上半年电子产业景气度提升,为公司业务增长提供了有利的外部环境。上述内外部因素共同推动公司电子元器件销售收入及盈利水平较上年同期实现较大幅度增长。",预增,53920400.0,2026-07-06
4608,300733,西菱动力,每股收益,预计2026年1-6月每股收益盈利:0.1639元至0.1715元。,0.1677,,"1、公司归属于上市公司股东的净利润同比增长的主要原因为公司收购上海菱驱科技有限公司(更名前“纬湃汽车(上海)电子有限公司”)形成负商誉约4,800万元计入营业外收入;2、公司扣除扣除非经常性损益后归属于上市公司股东的净利润同比下降主要原因为公司汽车零部件产品价格下降。",略增,0.1408,2026-07-06
4609,300733,西菱动力,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:2,045万元至2,345万元,同比上年下降:53.77%至59.69%。",21950000.0,-56.73,"1、公司归属于上市公司股东的净利润同比增长的主要原因为公司收购上海菱驱科技有限公司(更名前“纬湃汽车(上海)电子有限公司”)形成负商誉约4,800万元计入营业外收入;2、公司扣除扣除非经常性损益后归属于上市公司股东的净利润同比下降主要原因为公司汽车零部件产品价格下降。",预减,50732300.0,2026-07-06
4610,300733,西菱动力,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:6,500万元至6,800万元,同比上年增长:16.36%至21.73%。",66500000.0,19.045,"1、公司归属于上市公司股东的净利润同比增长的主要原因为公司收购上海菱驱科技有限公司(更名前“纬湃汽车(上海)电子有限公司”)形成负商誉约4,800万元计入营业外收入;2、公司扣除扣除非经常性损益后归属于上市公司股东的净利润同比下降主要原因为公司汽车零部件产品价格下降。",略增,55859500.0,2026-07-06
4611,300233,金城医药,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:6,000万元至8,000万元,同比上年增长:54.92%至106.56%。",70000000.0,80.74,"报告期内,公司归属于上市公司股东的净利润较上年同期增长,主要原因如下:1、中间体板块部分产品销量较去年同期增加,产能利用率提高,产品成本下降。2、全资子公司北京金城泰尔制药有限公司完成“普罗雌烯阴道用软胶囊生产技术及上市许可持有人权益”转让,增加了非经常性损益。3、公司持续加大技术创新,开展“揭榜挂帅”等内部挖潜项目,提质增效。报告期内,公司预计非经常性损益对归属于上市公司股东净利润的影响金额在5,000万元~6,000万元之间。",预增,38730500.0,2026-07-06
4612,300233,金城医药,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:11,000万元至14,000万元,同比上年增长:153.55%至222.71%。",125000000.0,188.13,"报告期内,公司归属于上市公司股东的净利润较上年同期增长,主要原因如下:1、中间体板块部分产品销量较去年同期增加,产能利用率提高,产品成本下降。2、全资子公司北京金城泰尔制药有限公司完成“普罗雌烯阴道用软胶囊生产技术及上市许可持有人权益”转让,增加了非经常性损益。3、公司持续加大技术创新,开展“揭榜挂帅”等内部挖潜项目,提质增效。报告期内,公司预计非经常性损益对归属于上市公司股东净利润的影响金额在5,000万元~6,000万元之间。",预增,43383200.0,2026-07-06
4613,002532,天山铝业,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:409,000万元,同比上年增长:108.56%。",4090000000.0,108.56,"公司业绩增长的主要原因为:报告期内,受益于全球铝行业供需影响,公司电解铝产品销售价格显著上行;与此同时,公司140万吨电解铝绿色低碳能效提升项目按计划顺利推进,量价协同效应叠加公司一体化成本管控成效,电解铝板块盈利实现大幅增长。同时二季度公司下属全资子公司新疆生产建设兵团第八师天山铝业有限公司上调所得税率,影响当期所得税费用。报告期内,公司下游铝深加工板块中,高纯铝受电解电容器行业需求增加等积极因素影响实现量价齐升,增厚公司盈利。同时铝深加工板块中各类铝箔产品市场需求旺盛,订单饱满,公司铝箔产量及良品率大幅提升,对整体利润形成正向贡献。",预增,1961028900.0,2026-07-06
4614,002532,天山铝业,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:420,000万元,同比上年增长:101.52%。",4200000000.0,101.52,"公司业绩增长的主要原因为:报告期内,受益于全球铝行业供需影响,公司电解铝产品销售价格显著上行;与此同时,公司140万吨电解铝绿色低碳能效提升项目按计划顺利推进,量价协同效应叠加公司一体化成本管控成效,电解铝板块盈利实现大幅增长。同时二季度公司下属全资子公司新疆生产建设兵团第八师天山铝业有限公司上调所得税率,影响当期所得税费用。报告期内,公司下游铝深加工板块中,高纯铝受电解电容器行业需求增加等积极因素影响实现量价齐升,增厚公司盈利。同时铝深加工板块中各类铝箔产品市场需求旺盛,订单饱满,公司铝箔产量及良品率大幅提升,对整体利润形成正向贡献。",预增,2084149200.0,2026-07-06
4615,002532,天山铝业,每股收益,预计2026年1-6月每股收益盈利:0.91元。,0.91,,"公司业绩增长的主要原因为:报告期内,受益于全球铝行业供需影响,公司电解铝产品销售价格显著上行;与此同时,公司140万吨电解铝绿色低碳能效提升项目按计划顺利推进,量价协同效应叠加公司一体化成本管控成效,电解铝板块盈利实现大幅增长。同时二季度公司下属全资子公司新疆生产建设兵团第八师天山铝业有限公司上调所得税率,影响当期所得税费用。报告期内,公司下游铝深加工板块中,高纯铝受电解电容器行业需求增加等积极因素影响实现量价齐升,增厚公司盈利。同时铝深加工板块中各类铝箔产品市场需求旺盛,订单饱满,公司铝箔产量及良品率大幅提升,对整体利润形成正向贡献。",预增,0.45,2026-07-06
4616,002266,浙富控股,每股收益,预计2026年1-6月每股收益盈利:0.24元至0.28元。,0.26,,"报告期内,依托公司危废处置及再生资源综合利用领域全产业链核心竞争优势,相关业务保持稳健运营;公司各类资源化综合利用产品市场需求景气,产品销量实现稳步攀升,营业收入及盈利水平较上年同期均实现较大幅度增长。",预增,0.11,2026-07-06
4617,002266,浙富控股,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:115,000万元至135,000万元,同比上年增长:170.84%至217.94%。",1250000000.0,194.39,"报告期内,依托公司危废处置及再生资源综合利用领域全产业链核心竞争优势,相关业务保持稳健运营;公司各类资源化综合利用产品市场需求景气,产品销量实现稳步攀升,营业收入及盈利水平较上年同期均实现较大幅度增长。",预增,424605400.0,2026-07-06
4618,002266,浙富控股,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:125,000万元至145,000万元,同比上年增长:120.78%至156.11%。",1350000000.0,138.445,"报告期内,依托公司危废处置及再生资源综合利用领域全产业链核心竞争优势,相关业务保持稳健运营;公司各类资源化综合利用产品市场需求景气,产品销量实现稳步攀升,营业收入及盈利水平较上年同期均实现较大幅度增长。",预增,566165200.0,2026-07-06
4619,000301,东方盛虹,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:401,600万元至481,600万元,同比上年增长:1377.97%至1672.39%。",4416000000.0,1525.18,"公司2026年半年度业绩与上年同期相比实现大幅增长,主要原因是:1、2026年上半年,石化化工行业供需格局改善导致景气度有所提升。同时,地缘局势紧张带动国际原油价格中枢上移,受成本抬升以及原料供应偏紧的影响,石化产品价格整体呈上升趋势,公司主要产品价差扩大带动整体盈利能力提升。2、公司充分发挥炼化一体化布局的成本优势,1600万吨/年盛虹炼化一体化项目及其他各产业板块上半年运行平稳、产销顺畅。同时,公司主动把握市场变化,灵活调整下游产品结构,有效提升市场竞争力。3、公司积极采取强化产业板块联动、智能化提质增效、严控供应链稳定等多种措施,确保了主业盈利能力的增长。",预增,271723900.0,2026-07-06
